Brand,Item Number,Item Name,Warehouse,On Hand,Available,Reserved,In Transit,On Sales Order,On Purchase Order
,Champion Mens  Classic Jersey Graphic Tee DARK GREEN GT23HY07718-014 US Size Small,Champion Mens  Classic Jersey Graphic Tee DARK GREEN GT23HY07718-014 US Size Small,Default Ridgefield,99,99,0,0,0,0
,Champion Mens  Classic Jersey Graphic Tee GRANITE HEATHER GT23HY07718-G61 US Size Small,Champion Mens  Classic Jersey Graphic Tee GRANITE HEATHER GT23HY07718-G61 US Size Small,Default Ridgefield,181,181,0,0,0,0
,Champion Mens  Classic Jersey Graphic Tee SPICY ORANGE GT23HY07718-5TQ US Size Large,Champion Mens  Classic Jersey Graphic Tee SPICY ORANGE GT23HY07718-5TQ US Size Large,Default Ridgefield,65,65,0,0,0,0
,Champion Mens  Classic Jersey Graphic Tee SPICY ORANGE GT23HY07718-5TQ US Size Medium,Champion Mens  Classic Jersey Graphic Tee SPICY ORANGE GT23HY07718-5TQ US Size Medium,Default Ridgefield,140,140,0,0,0,0
,Champion Mens  Classic Jersey Graphic Tee SWISS BLUE GT23HY07718-K7P US Size Medium,Champion Mens  Classic Jersey Graphic Tee SWISS BLUE GT23HY07718-K7P US Size Medium,Default Ridgefield,100,100,0,0,0,0
,Champion Men's Classic Jersey Jogger Pant GRANITE HEATHER GP08H586296-G61 US Size Small,Champion Men's Classic Jersey Jogger Pant GRANITE HEATHER GP08H586296-G61 US Size Small,Default Ridgefield,66,66,0,0,0,0
,Champion Men's Classic Jersey Jogger Pant Navy GP08H586296-031 US Size Large,Champion Men's Classic Jersey Jogger Pant Navy GP08H586296-031 US Size Large,Default Ridgefield,92,92,0,0,0,12
,Champion Men's Classic Jersey Jogger Pant Oxford Gray GP08H586296-806 US Size Medium,Champion Men's Classic Jersey Jogger Pant Oxford Gray GP08H586296-806 US Size Medium,Default Ridgefield,72,72,0,0,0,220
,Champion Men's Classic Jersey Jogger Pant Oxford Gray GP08H586296-806 US Size Medium,Champion Men's Classic Jersey Jogger Pant Oxford Gray GP08H586296-806 US Size Medium,FBALYB Amazon,36,30,6,0,6,0
,Champion Men's Classic Jersey Muscle Tee SURF THE WEB T0222-GUX US Size Small,Champion Men's Classic Jersey Muscle Tee SURF THE WEB T0222-GUX US Size Small,Default Ridgefield,99,99,0,0,0,0
,Champion Mens Powerblend Fleece Pullover Crew Black S0888407D55-003 US Size Medium,Champion Mens Powerblend Fleece Pullover Crew Black S0888407D55-003 US Size Medium,Default Ridgefield,132,132,0,0,0,3186
,Champion Mens Powerblend Fleece Pullover Crew Black S0888407D55-003 US Size Medium,Champion Mens Powerblend Fleece Pullover Crew Black S0888407D55-003 US Size Medium,FBALYB Amazon,40,37,3,0,3,0
,Champion Mens Powerblend Fleece Pullover Crew Black S0888407D55-003 US Size Small,Champion Mens Powerblend Fleece Pullover Crew Black S0888407D55-003 US Size Small,Default Ridgefield,100,100,0,0,0,100
,Champion Mens Powerblend Fleece Pullover Crew Black S0888407D55-003 US Size XXL,Champion Mens Powerblend Fleece Pullover Crew Black S0888407D55-003 US Size XXL,Default Ridgefield,3,3,0,0,0,25
,Champion Mens Powerblend Fleece Pullover Crew CARGO OLIVE S0888407D55-9AX US Size Extra Large,Champion Mens Powerblend Fleece Pullover Crew CARGO OLIVE S0888407D55-9AX US Size Extra Large,Default Ridgefield,48,48,0,0,0,0
,Champion Mens Powerblend Fleece Pullover Crew GRANITE HEATHER S0888407D55-G61 US Size Extra Large,Champion Mens Powerblend Fleece Pullover Crew GRANITE HEATHER S0888407D55-G61 US Size Extra Large,Default Ridgefield,105,105,0,0,0,0
,Champion Mens Powerblend Fleece Pullover Crew GRANITE HEATHER S0888407D55-G61 US Size Extra Large,Champion Mens Powerblend Fleece Pullover Crew GRANITE HEATHER S0888407D55-G61 US Size Extra Large,FBALYB Amazon,39,39,0,0,0,0
,Champion Mens Powerblend Fleece Pullover Crew GRANITE HEATHER S0888407D55-G61 US Size Small,Champion Mens Powerblend Fleece Pullover Crew GRANITE HEATHER S0888407D55-G61 US Size Small,Default Ridgefield,0,0,0,0,0,50
,Champion Mens Powerblend Fleece Pullover Crew GRANITE HEATHER S0888407D55-G61 US Size Small,Champion Mens Powerblend Fleece Pullover Crew GRANITE HEATHER S0888407D55-G61 US Size Small,FBALYB Amazon,36,35,1,0,1,0
,Champion Mens Powerblend Fleece Pullover Crew Navy S0888407D55-031 US Size 2XL,Champion Mens Powerblend Fleece Pullover Crew Navy S0888407D55-031 US Size 2XL,Default Ridgefield,91,91,0,0,0,82
,Champion Mens Powerblend Fleece Pullover Crew Navy S0888407D55-031 US Size 2XL,Champion Mens Powerblend Fleece Pullover Crew Navy S0888407D55-031 US Size 2XL,FBALYB Amazon,44,44,0,0,0,0
,Champion Mens Powerblend Fleece Pullover Crew Navy S0888407D55-031 US Size Extra Large,Champion Mens Powerblend Fleece Pullover Crew Navy S0888407D55-031 US Size Extra Large,Default Ridgefield,150,150,0,0,0,0
,Champion Mens Powerblend Fleece Pullover Crew Navy S0888407D55-031 US Size Extra Large,Champion Mens Powerblend Fleece Pullover Crew Navy S0888407D55-031 US Size Extra Large,FBALYB Amazon,37,33,4,0,4,0
,Champion Mens Powerblend Fleece Pullover Crew Navy S0888407D55-031 US Size Large,Champion Mens Powerblend Fleece Pullover Crew Navy S0888407D55-031 US Size Large,Default Ridgefield,4,4,0,0,0,669
,Champion Mens Powerblend Fleece Pullover Crew Navy S0888407D55-031 US Size Small,Champion Mens Powerblend Fleece Pullover Crew Navy S0888407D55-031 US Size Small,Default Ridgefield,68,68,0,0,0,118
,Champion Mens Powerblend Fleece Pullover Crew Navy S0888407D55-031 US Size Small,Champion Mens Powerblend Fleece Pullover Crew Navy S0888407D55-031 US Size Small,FBALYB Amazon,49,48,1,0,1,0
,Champion Mens Powerblend Fleece Pullover Crew Oxford Gray S0888407D55-806 US Size Medium,Champion Mens Powerblend Fleece Pullover Crew Oxford Gray S0888407D55-806 US Size Medium,Default Ridgefield,0,0,0,0,0,100
,Champion Mens Powerblend Fleece Pullover Crew Oxford Gray S0888407D55-806 US Size Medium,Champion Mens Powerblend Fleece Pullover Crew Oxford Gray S0888407D55-806 US Size Medium,FBALYB Amazon,39,33,6,0,6,0
,Champion Mens Powerblend Fleece Pullover Crew Purple S0888407D55-037 US Size Extra Large,Champion Mens Powerblend Fleece Pullover Crew Purple S0888407D55-037 US Size Extra Large,Default Ridgefield,1,1,0,0,0,0
,Champion Mens Powerblend Fleece Pullover Crew Purple S0888407D55-037 US Size Extra Large,Champion Mens Powerblend Fleece Pullover Crew Purple S0888407D55-037 US Size Extra Large,FBALYB Amazon,45,45,0,0,0,0
,Champion Mens Powerblend Fleece Pullover Crew Purple S0888407D55-037 US Size Large,Champion Mens Powerblend Fleece Pullover Crew Purple S0888407D55-037 US Size Large,Default Ridgefield,0,0,0,0,0,42
,Champion Mens Powerblend Fleece Pullover Crew Purple S0888407D55-037 US Size Large,Champion Mens Powerblend Fleece Pullover Crew Purple S0888407D55-037 US Size Large,FBALYB Amazon,45,43,2,0,2,0
,Champion Mens Powerblend Fleece Pullover Crew Purple S0888407D55-037 US Size Medium,Champion Mens Powerblend Fleece Pullover Crew Purple S0888407D55-037 US Size Medium,Default Ridgefield,49,49,0,0,0,50
,Champion Mens Powerblend Fleece Pullover Crew Purple S0888407D55-037 US Size Small,Champion Mens Powerblend Fleece Pullover Crew Purple S0888407D55-037 US Size Small,Default Ridgefield,47,47,0,0,0,36
,Champion Mens Powerblend Fleece Pullover Crew Spicy Orange S0888407D55-5TQ US Size Small,Champion Mens Powerblend Fleece Pullover Crew Spicy Orange S0888407D55-5TQ US Size Small,Default Ridgefield,18,18,0,0,0,0
,Champion Mens Powerblend Fleece Pullover Crew Spicy Orange S0888407D55-5TQ US Size Small,Champion Mens Powerblend Fleece Pullover Crew Spicy Orange S0888407D55-5TQ US Size Small,FBALYB Amazon,50,49,1,0,1,0
,Champion Mens Powerblend Fleece Pullover Crew SURF THE WEB S0888407D55-GUX US Size 2XL,Champion Mens Powerblend Fleece Pullover Crew SURF THE WEB S0888407D55-GUX US Size 2XL,FBALYB Amazon,48,48,0,0,0,0
,Champion Mens Powerblend Fleece Pullover Crew SURF THE WEB S0888407D55-GUX US Size Extra Large,Champion Mens Powerblend Fleece Pullover Crew SURF THE WEB S0888407D55-GUX US Size Extra Large,Default Ridgefield,30,30,0,0,0,0
,Champion Mens Powerblend Fleece Pullover Crew SURF THE WEB S0888407D55-GUX US Size Extra Large,Champion Mens Powerblend Fleece Pullover Crew SURF THE WEB S0888407D55-GUX US Size Extra Large,FBALYB Amazon,50,50,0,0,0,0
,Champion Mens Powerblend Fleece Pullover Crew Swiss Blue S0888407D55-K7P US Size Medium,Champion Mens Powerblend Fleece Pullover Crew Swiss Blue S0888407D55-K7P US Size Medium,FBALYB Amazon,46,46,0,0,0,0
,Champion Mens Powerblend Fleece Pullover Crew Team Gold S0888407D55-MLV US Size Extra Large,Champion Mens Powerblend Fleece Pullover Crew Team Gold S0888407D55-MLV US Size Extra Large,Default Ridgefield,2,2,0,0,0,0
,Champion Mens Powerblend Fleece Pullover Crew Team Gold S0888407D55-MLV US Size Extra Large,Champion Mens Powerblend Fleece Pullover Crew Team Gold S0888407D55-MLV US Size Extra Large,FBALYB Amazon,24,24,0,0,0,0
,Champion Mens Powerblend Fleece Pullover Crew Team Red Scarlet S0888407D55-W3J US Size Extra Large,Champion Mens Powerblend Fleece Pullover Crew Team Red Scarlet S0888407D55-W3J US Size Extra Large,Default Ridgefield,49,49,0,0,0,0
,Champion Mens Powerblend Fleece Pullover Crew Team Red Scarlet S0888407D55-W3J US Size Large,Champion Mens Powerblend Fleece Pullover Crew Team Red Scarlet S0888407D55-W3J US Size Large,Default Ridgefield,1,1,0,0,0,50
,Champion Mens Powerblend Fleece Pullover Crew Team Red Scarlet S0888407D55-W3J US Size Large,Champion Mens Powerblend Fleece Pullover Crew Team Red Scarlet S0888407D55-W3J US Size Large,FBALYB Amazon,43,42,1,0,1,0
,Champion Mens Powerblend Fleece Pullover Crew Team Red Scarlet S0888407D55-W3J US Size Medium,Champion Mens Powerblend Fleece Pullover Crew Team Red Scarlet S0888407D55-W3J US Size Medium,Default Ridgefield,1,1,0,0,0,50
,Champion Mens Powerblend Fleece Pullover Crew Team Red Scarlet S0888407D55-W3J US Size Medium,Champion Mens Powerblend Fleece Pullover Crew Team Red Scarlet S0888407D55-W3J US Size Medium,FBALYB Amazon,27,27,0,0,0,0
,Champion Mens Powerblend Fleece Pullover Crew Team Red Scarlet S0888407D55-W3J US Size Small,Champion Mens Powerblend Fleece Pullover Crew Team Red Scarlet S0888407D55-W3J US Size Small,Default Ridgefield,47,47,0,0,0,50
,Champion Mens Powerblend Fleece Pullover Crew White S0888407D55-045 US Size Large,Champion Mens Powerblend Fleece Pullover Crew White S0888407D55-045 US Size Large,Default Ridgefield,76,76,0,0,0,127
,Champion Mens Powerblend Fleece Pullover Crew White S0888407D55-045 US Size Large,Champion Mens Powerblend Fleece Pullover Crew White S0888407D55-045 US Size Large,FBALYB Amazon,46,44,2,0,2,0
,Champion Men's Powerblend Fleece Pullover Hoodie Black GF89HY06794-BKC US Size Large,Champion Men's Powerblend Fleece Pullover Hoodie Black GF89HY06794-BKC US Size Large,Default Ridgefield,24,24,0,0,0,0
,Champion Men's Powerblend Fleece Pullover Hoodie Black GF89HY06794-BKC US Size Large,Champion Men's Powerblend Fleece Pullover Hoodie Black GF89HY06794-BKC US Size Large,FBALYB Amazon,44,41,3,0,3,0
,Champion Men's Powerblend Fleece Pullover Hoodie Black GF89HY06794-BKC US Size XXL,Champion Men's Powerblend Fleece Pullover Hoodie Black GF89HY06794-BKC US Size XXL,Default Ridgefield,49,49,0,0,0,0
,Champion Men's Powerblend Fleece Pullover Hoodie White GF89HY06794-WHC US Size Extra Large,Champion Men's Powerblend Fleece Pullover Hoodie White GF89HY06794-WHC US Size Extra Large,Default Ridgefield,37,37,0,0,0,0
,Champion Men's Powerblend Fleece Pullover Hoodie White GF89HY06794-WHC US Size Medium,Champion Men's Powerblend Fleece Pullover Hoodie White GF89HY06794-WHC US Size Medium,Default Ridgefield,34,34,0,0,0,41
,Champion Men's Powerblend Sweats Pullover Hoodie Black S0889407D55-003 US Size Medium,Champion Men's Powerblend Sweats Pullover Hoodie Black S0889407D55-003 US Size Medium,Default Ridgefield,35,35,0,0,0,212
,Champion Men's Powerblend Sweats Pullover Hoodie Black S0889407D55-003 US Size Small,Champion Men's Powerblend Sweats Pullover Hoodie Black S0889407D55-003 US Size Small,Default Ridgefield,298,298,0,0,0,311
,Champion Men's Powerblend Sweats Pullover Hoodie CARGO OLIVE S0889407D55-9AX US Size Medium,Champion Men's Powerblend Sweats Pullover Hoodie CARGO OLIVE S0889407D55-9AX US Size Medium,Default Ridgefield,3,3,0,0,0,0
,Champion Men's Powerblend Sweats Pullover Hoodie CARGO OLIVE S0889407D55-9AX US Size Medium,Champion Men's Powerblend Sweats Pullover Hoodie CARGO OLIVE S0889407D55-9AX US Size Medium,FBALYB Amazon,29,24,5,0,5,0
,Champion Men's Powerblend Sweats Pullover Hoodie CARGO OLIVE S0889407D55-9AX US Size Small,Champion Men's Powerblend Sweats Pullover Hoodie CARGO OLIVE S0889407D55-9AX US Size Small,Default Ridgefield,51,51,0,0,0,0
,Champion Men's Powerblend Sweats Pullover Hoodie Dark Green S0889407D55-014 US Size 3XL,Champion Men's Powerblend Sweats Pullover Hoodie Dark Green S0889407D55-014 US Size 3XL,Default Ridgefield,50,50,0,0,0,50
,Champion Men's Powerblend Sweats Pullover Hoodie Dark Green S0889407D55-014 US Size 4XL,Champion Men's Powerblend Sweats Pullover Hoodie Dark Green S0889407D55-014 US Size 4XL,Default Ridgefield,50,50,0,0,0,50
,Champion Men's Powerblend Sweats Pullover Hoodie Dark Green S0889407D55-014 US Size Small,Champion Men's Powerblend Sweats Pullover Hoodie Dark Green S0889407D55-014 US Size Small,Default Ridgefield,53,53,0,0,0,0
,Champion Men's Powerblend Sweats Pullover Hoodie Dark Green S0889407D55-014 US Size Small,Champion Men's Powerblend Sweats Pullover Hoodie Dark Green S0889407D55-014 US Size Small,FBALYB Amazon,10,10,0,0,0,0
,Champion Men's Powerblend Sweats Pullover Hoodie GRANITE HEATHER S0889407D55-G61 US Size Extra Large,Champion Men's Powerblend Sweats Pullover Hoodie GRANITE HEATHER S0889407D55-G61 US Size Extra Large,Default Ridgefield,70,70,0,0,0,120
,Champion Men's Powerblend Sweats Pullover Hoodie GRANITE HEATHER S0889407D55-G61 US Size Extra Large,Champion Men's Powerblend Sweats Pullover Hoodie GRANITE HEATHER S0889407D55-G61 US Size Extra Large,FBALYB Amazon,46,45,1,0,1,0
,Champion Men's Powerblend Sweats Pullover Hoodie GRANITE HEATHER S0889407D55-G61 US Size Extra Small,Champion Men's Powerblend Sweats Pullover Hoodie GRANITE HEATHER S0889407D55-G61 US Size Extra Small,Default Ridgefield,83,83,0,0,0,0
,Champion Men's Powerblend Sweats Pullover Hoodie MAROON S0889407D55-029 US Size 3XL,Champion Men's Powerblend Sweats Pullover Hoodie MAROON S0889407D55-029 US Size 3XL,Default Ridgefield,50,50,0,0,0,50
,Champion Men's Powerblend Sweats Pullover Hoodie MAROON S0889407D55-029 US Size 4XL,Champion Men's Powerblend Sweats Pullover Hoodie MAROON S0889407D55-029 US Size 4XL,Default Ridgefield,50,50,0,0,0,50
,Champion Men's Powerblend Sweats Pullover Hoodie MAROON S0889407D55-029 US Size Extra Large,Champion Men's Powerblend Sweats Pullover Hoodie MAROON S0889407D55-029 US Size Extra Large,Default Ridgefield,103,103,0,0,0,149
,Champion Men's Powerblend Sweats Pullover Hoodie NAVY S0889407D55-031 US Size 4XL,Champion Men's Powerblend Sweats Pullover Hoodie NAVY S0889407D55-031 US Size 4XL,Default Ridgefield,100,100,0,0,0,0
,Champion Men's Powerblend Sweats Pullover Hoodie NAVYS0889407D55-031  US Size Medium,Champion Men's Powerblend Sweats Pullover Hoodie NAVYS0889407D55-031  US Size Medium,Default Ridgefield,175,175,0,0,0,178
,Champion Men's Powerblend Sweats Pullover Hoodie NAVY S0889407D55-031 US Size Small,Champion Men's Powerblend Sweats Pullover Hoodie NAVY S0889407D55-031 US Size Small,Default Ridgefield,130,130,0,0,0,153
,Champion Men's Powerblend Sweats Pullover Hoodie OXFORD GRAY S0889407D55-806 US Size Extra Large,Champion Men's Powerblend Sweats Pullover Hoodie OXFORD GRAY S0889407D55-806 US Size Extra Large,Default Ridgefield,236,236,0,0,0,24
,Champion Men's Powerblend Sweats Pullover Hoodie OXFORD GRAY S0889407D55-806 US Size Extra Small,Champion Men's Powerblend Sweats Pullover Hoodie OXFORD GRAY S0889407D55-806 US Size Extra Small,Default Ridgefield,203,203,0,0,0,0
,Champion Men's Powerblend Sweats Pullover Hoodie OXFORD GRAY S0889407D55-806 US Size Large,Champion Men's Powerblend Sweats Pullover Hoodie OXFORD GRAY S0889407D55-806 US Size Large,Default Ridgefield,77,77,0,0,0,206
,Champion Men's Powerblend Sweats Pullover Hoodie OXFORD GRAY S0889407D55-806 US Size Large,Champion Men's Powerblend Sweats Pullover Hoodie OXFORD GRAY S0889407D55-806 US Size Large,FBALYB Amazon,215,214,1,0,1,0
,Champion Men's Powerblend Sweats Pullover Hoodie OXFORD GRAY S0889407D55-806 US Size Medium,Champion Men's Powerblend Sweats Pullover Hoodie OXFORD GRAY S0889407D55-806 US Size Medium,Default Ridgefield,48,48,0,0,0,0
,Champion Men's Powerblend Sweats Pullover Hoodie OXFORD GRAY S0889407D55-806 US Size Small,Champion Men's Powerblend Sweats Pullover Hoodie OXFORD GRAY S0889407D55-806 US Size Small,Default Ridgefield,73,73,0,0,0,200
,Champion Men's Powerblend Sweats Pullover Hoodie OXFORD GRAY S0889407D55-806 US Size Small,Champion Men's Powerblend Sweats Pullover Hoodie OXFORD GRAY S0889407D55-806 US Size Small,FBALYB Amazon,42,37,5,0,5,0
,Champion Men's Powerblend Sweats Pullover Hoodie PURPLE S0889407D55-037 US Size 3XL,Champion Men's Powerblend Sweats Pullover Hoodie PURPLE S0889407D55-037 US Size 3XL,Default Ridgefield,50,50,0,0,0,0
,Champion Men's Powerblend Sweats Pullover Hoodie PURPLE S0889407D55-037 US Size 4XL,Champion Men's Powerblend Sweats Pullover Hoodie PURPLE S0889407D55-037 US Size 4XL,Default Ridgefield,50,50,0,0,0,0
,Champion Men's Powerblend Sweats Pullover Hoodie PURPLE S0889407D55-037 US Size Medium,Champion Men's Powerblend Sweats Pullover Hoodie PURPLE S0889407D55-037 US Size Medium,Default Ridgefield,3,3,0,0,0,0
,Champion Men's Powerblend Sweats Pullover Hoodie PURPLE S0889407D55-037 US Size Medium,Champion Men's Powerblend Sweats Pullover Hoodie PURPLE S0889407D55-037 US Size Medium,FBALYB Amazon,31,29,2,0,2,0
,Champion Men's Powerblend Sweats Pullover Hoodie PURPLE S0889407D55-037 US Size Small,Champion Men's Powerblend Sweats Pullover Hoodie PURPLE S0889407D55-037 US Size Small,Default Ridgefield,97,97,0,0,0,0
,Champion Men's Powerblend Sweats Pullover Hoodie SURF THE WEB S0889407D55-GUX US Size Extra Large,Champion Men's Powerblend Sweats Pullover Hoodie SURF THE WEB S0889407D55-GUX US Size Extra Large,Default Ridgefield,90,90,0,0,0,0
,Champion Men's Powerblend Sweats Pullover Hoodie SURF THE WEB S0889407D55-GUX US Size Small,Champion Men's Powerblend Sweats Pullover Hoodie SURF THE WEB S0889407D55-GUX US Size Small,Default Ridgefield,53,53,0,0,0,0
,Champion Men's Powerblend Sweats Pullover Hoodie SWISS BLUE S0889407D55-K7P US Size 3XL,Champion Men's Powerblend Sweats Pullover Hoodie SWISS BLUE S0889407D55-K7P US Size 3XL,Default Ridgefield,35,35,0,0,0,50
,Champion Men's Powerblend Sweats Pullover Hoodie SWISS BLUE S0889407D55-K7P US Size 4XL,Champion Men's Powerblend Sweats Pullover Hoodie SWISS BLUE S0889407D55-K7P US Size 4XL,Default Ridgefield,50,50,0,0,0,50
,Champion Men's Powerblend Sweats Pullover Hoodie SWISS BLUE S0889407D55-K7P US Size Large,Champion Men's Powerblend Sweats Pullover Hoodie SWISS BLUE S0889407D55-K7P US Size Large,Default Ridgefield,54,54,0,0,0,0
,Champion Men's Powerblend Sweats Pullover Hoodie TEAM GOLD S0889407D55-MLV US Size 3XL,Champion Men's Powerblend Sweats Pullover Hoodie TEAM GOLD S0889407D55-MLV US Size 3XL,Default Ridgefield,50,50,0,0,0,50
,Champion Men's Powerblend Sweats Pullover Hoodie TEAM GOLD S0889407D55-MLV US Size 4XL,Champion Men's Powerblend Sweats Pullover Hoodie TEAM GOLD S0889407D55-MLV US Size 4XL,Default Ridgefield,48,48,0,0,0,52
,Champion Men's Powerblend Sweats Pullover Hoodie TEAM GOLD S0889407D55-MLV US Size Medium,Champion Men's Powerblend Sweats Pullover Hoodie TEAM GOLD S0889407D55-MLV US Size Medium,Default Ridgefield,1,1,0,0,0,0
,Champion Men's Powerblend Sweats Pullover Hoodie TEAM GOLD S0889407D55-MLV US Size Medium,Champion Men's Powerblend Sweats Pullover Hoodie TEAM GOLD S0889407D55-MLV US Size Medium,FBALYB Amazon,40,38,2,0,2,0
,Champion Men's Powerblend Sweats Pullover Hoodie TEAM GOLD S0889407D55-MLV US Size Small,Champion Men's Powerblend Sweats Pullover Hoodie TEAM GOLD S0889407D55-MLV US Size Small,Default Ridgefield,2,2,0,0,0,50
,Champion Men's Powerblend Sweats Pullover Hoodie TEAM GOLD S0889407D55-MLV US Size Small,Champion Men's Powerblend Sweats Pullover Hoodie TEAM GOLD S0889407D55-MLV US Size Small,FBALYB Amazon,34,34,0,0,0,0
,Champion Men's Powerblend Sweats Pullover Hoodie TEAM RED SCARLET S0889407D55-W3J US Size XXL,Champion Men's Powerblend Sweats Pullover Hoodie TEAM RED SCARLET S0889407D55-W3J US Size XXL,Default Ridgefield,50,50,0,0,0,0
,Champion Men's Powerblend Sweats Pullover Hoodie White S0889407D55-045 US Size 4XL,Champion Men's Powerblend Sweats Pullover Hoodie White S0889407D55-045 US Size 4XL,Default Ridgefield,49,49,0,0,0,50
,Champion Men's Powerblend Sweats Pullover Hoodie White S0889407D55-045 US Size Large,Champion Men's Powerblend Sweats Pullover Hoodie White S0889407D55-045 US Size Large,Default Ridgefield,23,23,0,0,0,93
,Champion Men's Powerblend Sweats Pullover Hoodie White S0889407D55-045 US Size Medium,Champion Men's Powerblend Sweats Pullover Hoodie White S0889407D55-045 US Size Medium,Default Ridgefield,10,10,0,0,0,255
,Champion Men's Powerblend Sweats Pullover Hoodie White S0889407D55-045 US Size Small,Champion Men's Powerblend Sweats Pullover Hoodie White S0889407D55-045 US Size Small,Default Ridgefield,105,105,0,0,0,105
,Champion Mens PowerFlex Athletic Compression Shorts Black 84956407Z98-003 Size Small,Champion Mens PowerFlex Athletic Compression Shorts Black 84956407Z98-003 Size Small,Default Ridgefield,100,100,0,0,0,0
,Champion Mens Short Sleeve T-shirt Black GT23HY06794-003 US Size Medium,Champion Mens Short Sleeve T-shirt Black GT23HY06794-003 US Size Medium,Default Ridgefield,232,232,0,0,0,0
,Champion Mens Short Sleeve T-shirt Navy GT23HY06794-031 US Size Medium,Champion Mens Short Sleeve T-shirt Navy GT23HY06794-031 US Size Medium,Default Ridgefield,219,219,0,0,0,0
,Champion Mens Short Sleeve T-shirt Navy GT23HY06794-031 US Size Medium,Champion Mens Short Sleeve T-shirt Navy GT23HY06794-031 US Size Medium,FBALYB Amazon,3,1,2,0,2,0
,Champion Mens Short Sleeve T-shirt Navy GT23HY06794-031 US Size Small,Champion Mens Short Sleeve T-shirt Navy GT23HY06794-031 US Size Small,Default Ridgefield,120,120,0,0,0,0
,Champion Mens Short Sleeve T-shirt Oxford Gray GT23HY06794-806 US Size Extra Small,Champion Mens Short Sleeve T-shirt Oxford Gray GT23HY06794-806 US Size Extra Small,Default Ridgefield,36,36,0,0,0,0
,Champion Mens Short Sleeve T-shirt Oxford Gray GT23HY06794-806 US Size Small,Champion Mens Short Sleeve T-shirt Oxford Gray GT23HY06794-806 US Size Small,Default Ridgefield,150,150,0,0,0,0
,Champion Mens Short Sleeve T-shirt Oxford Gray GT23HY06794-806 US Size Small,Champion Mens Short Sleeve T-shirt Oxford Gray GT23HY06794-806 US Size Small,FBALYB Amazon,87,87,0,0,0,0
,Champion Mens Short Sleeve T-shirt Scarlet GT23HY06794-040 US Size Large,Champion Mens Short Sleeve T-shirt Scarlet GT23HY06794-040 US Size Large,Default Ridgefield,399,399,0,0,0,0
,Champion Mens Short Sleeve T-shirt White GT23HY06794-045 US Size Extra Small,Champion Mens Short Sleeve T-shirt White GT23HY06794-045 US Size Extra Small,Default Ridgefield,100,100,0,0,0,0
,Champion Mens Sport 6 Compression Shorts Black 87294407Z32-003 US Size Medium,Champion Mens Sport 6 Compression Shorts Black 87294407Z32-003 US Size Medium,Default Ridgefield,298,298,0,0,0,0
,Champion Reverse Weave Pullover Hoodie Mens Black GF68Y06145-BKC US Size Medium,Champion Reverse Weave Pullover Hoodie Mens Black GF68Y06145-BKC US Size Medium,Default Ridgefield,4,4,0,0,0,0
,Champion Reverse Weave Pullover Hoodie Mens Black GF68Y06145-BKC US Size Medium,Champion Reverse Weave Pullover Hoodie Mens Black GF68Y06145-BKC US Size Medium,FBALYB Amazon,194,193,1,0,1,0
,Champion Reverse Weave Pullover Hoodie Mens Oxford Gray GF68Y06145-1IC US Size Extra Large,Champion Reverse Weave Pullover Hoodie Mens Oxford Gray GF68Y06145-1IC US Size Extra Large,Default Ridgefield,101,101,0,0,0,3
,Champion Reverse Weave Pullover Hoodie Mens Oxford Gray GF68Y06145-1IC US Size Extra Large,Champion Reverse Weave Pullover Hoodie Mens Oxford Gray GF68Y06145-1IC US Size Extra Large,FBALYB Amazon,45,43,2,0,2,0
,Champion Reverse Weave Pullover Hoodie Mens Oxford Gray GF68Y06145-1IC US Size Large,Champion Reverse Weave Pullover Hoodie Mens Oxford Gray GF68Y06145-1IC US Size Large,Default Ridgefield,251,251,0,0,0,0
,Champion Reverse Weave Pullover Hoodie Mens Oxford Gray GF68Y06145-1IC US Size Large,Champion Reverse Weave Pullover Hoodie Mens Oxford Gray GF68Y06145-1IC US Size Large,FBALYB Amazon,46,45,1,0,1,0
,Champion Reverse Weave Pullover Hoodie Mens Oxford Gray GF68Y06145-1IC US Size Medium,Champion Reverse Weave Pullover Hoodie Mens Oxford Gray GF68Y06145-1IC US Size Medium,Default Ridgefield,248,248,0,0,0,300
,Champion Reverse Weave Pullover Hoodie Mens Oxford Gray GF68Y06145-1IC US Size Medium,Champion Reverse Weave Pullover Hoodie Mens Oxford Gray GF68Y06145-1IC US Size Medium,FBALYB Amazon,36,32,4,0,4,0
,Champion Reverse Weave Pullover Hoodie Mens Oxford Gray GF68Y06145-1IC US Size Small,Champion Reverse Weave Pullover Hoodie Mens Oxford Gray GF68Y06145-1IC US Size Small,Default Ridgefield,100,100,0,0,0,150
,Champion Reverse Weave Pullover Hoodie Mens Oxford Gray GF68Y06145-1IC US Size Small,Champion Reverse Weave Pullover Hoodie Mens Oxford Gray GF68Y06145-1IC US Size Small,FBALYB Amazon,43,41,2,0,2,0
,Champion Reverse Weave Pullover Hoodie Mens White GF68Y06145-WHC US Size 2XL,Champion Reverse Weave Pullover Hoodie Mens White GF68Y06145-WHC US Size 2XL,Default Ridgefield,177,177,0,0,0,179
,Champion Reverse Weave Pullover Hoodie Mens White GF68Y06145-WHC US Size 3XL,Champion Reverse Weave Pullover Hoodie Mens White GF68Y06145-WHC US Size 3XL,Default Ridgefield,97,97,0,0,0,100
